z_k_0,z_k_1,x_k_0,x_k_1
-0.07,-0.11,-0.07,-0.11
-0.13,0.04,-0.03,-0.06
0.34,0.07,-0.02,-0.03
0.53,0.01,-0.02,-0.03
0.41,-0.14,-0.02,-0.04
0.07,0.21,-0.01,-0.02
0.28,0.03,-0.01,-0.01
0.34,-0.10,-0.01,-0.02
0.20,-0.11,-0.01,-0.02
0.18,-0.10,-0.01,-0.02
0.38,-0.05,-0.01,-0.02
0.22,-0.19,-0.01,-0.02
-0.08,-0.04,-0.02,-0.03
0.03,0.03,-0.01,-0.02
0.28,-0.07,-0.00,-0.00
0.40,0.13,0.02,0.03
0.54,-0.07,0.02,0.02
0.16,-0.05,0.01,0.02
0.30,-0.23,-0.00,-0.01
-0.17,0.09,-0.00,-0.00
0.18,0.13,0.01,0.02
-0.10,-0.13,0.00,0.00
-0.12,-0.04,-0.00,-0.01
0.09,-0.01,-0.00,-0.00
0.35,-0.11,-0.00,-0.00
0.05,-0.23,-0.02,-0.02
0.27,-0.05,-0.01,-0.01
0.21,0.07,0.01,0.01
0.35,0.01,0.02,0.03
-0.09,0.04,0.02,0.02
0.28,0.07,0.03,0.04
0.62,-0.13,0.02,0.03
0.64,0.13,0.05,0.07
0.10,0.03,0.05,0.07
0.06,-0.02,0.04,0.05
0.31,0.07,0.05,0.06
0.03,0.03,0.04,0.05
-0.01,-0.04,0.02,0.02
0.28,-0.02,0.02,0.02
0.37,0.04,0.03,0.04
0.20,0.09,0.04,0.05
0.01,0.24,0.05,0.07
0.13,-0.16,0.04,0.06
0.22,-0.30,0.03,0.03
0.12,-0.10,0.02,0.03
0.44,0.09,0.03,0.04
0.42,-0.07,0.03,0.04
0.12,-0.08,0.03,0.04
-0.22,-0.08,0.02,0.02
0.24,-0.17,0.01,0.01
0.14,-0.05,0.01,0.01
-0.04,-0.07,0.00,0.00
0.02,0.19,0.02,0.03
-0.18,0.06,0.02,0.02
0.25,-0.07,0.01,0.02
0.05,-0.04,0.01,0.01
0.07,0.10,0.02,0.03
0.03,0.12,0.03,0.04
0.39,0.35,0.05,0.07
0.19,0.04,0.06,0.07
0.37,0.01,0.06,0.07
0.52,0.15,0.07,0.08
-0.03,0.04,0.06,0.08
-0.21,0.16,0.07,0.09
-0.14,-0.04,0.06,0.07
-0.08,-0.07,0.04,0.05
-0.28,-0.13,0.02,0.03
0.03,-0.10,0.01,0.01
0.18,-0.11,-0.00,0.00
-0.17,0.01,0.00,0.00
0.04,-0.11,-0.02,-0.02
-0.12,-0.05,-0.02,-0.03
0.30,0.22,0.01,0.02
-0.04,-0.25,-0.01,-0.01
0.39,-0.10,-0.02,-0.01
0.48,-0.05,-0.02,-0.01
-0.03,-0.02,-0.02,-0.01
0.37,0.03,-0.01,-0.00
0.22,-0.02,-0.01,-0.00
0.28,-0.05,-0.02,-0.00
0.26,-0.05,-0.03,-0.00
-0.06,-0.05,-0.04,-0.01
-0.11,-0.16,-0.06,-0.03
0.31,-0.08,-0.12,-0.07
0.28,-0.08,-0.17,-0.09
0.35,-0.04,-0.23,-0.09
-0.16,-0.01,-0.21,-0.07
0.14,-0.05,-0.25,-0.06
0.17,0.04,-0.32,-0.04
0.38,-0.07,-0.54,-0.04
-0.09,-0.17,-0.88,-0.05
0.17,-0.14,-3.43,-0.04
-0.08,-0.04,1.92,-0.09
0.14,0.16,0.69,-0.06
0.51,-0.05,0.62,-0.06
0.39,-0.01,0.55,-0.06
0.30,0.10,0.47,-0.04
0.12,-0.08,0.36,-0.04
0.13,-0.08,0.31,-0.05
0.01,-0.01,0.23,-0.04
0.26,-0.25,0.24,-0.06
0.07,0.07,0.21,-0.05
0.28,0.10,0.23,-0.03
0.03,-0.08,0.18,-0.04
0.03,-0.11,0.15,-0.05
0.45,-0.11,0.22,-0.06
0.46,-0.08,0.26,-0.06
-0.06,-0.07,0.21,-0.06
-0.41,0.01,0.15,-0.06
0.50,-0.08,0.18,-0.06
0.29,-0.02,0.20,-0.05
0.18,-0.01,0.20,-0.04
0.05,-0.04,0.18,-0.04
0.23,0.01,0.19,-0.02
0.22,0.15,0.19,0.01
0.46,-0.02,0.22,0.00
0.37,-0.01,0.24,0.00
0.21,0.04,0.23,0.01
0.27,0.25,0.22,0.03
0.08,0.06,0.16,0.04
0.37,-0.10,0.22,0.02
0.27,-0.11,0.24,0.01
0.16,0.04,0.22,0.01
0.62,-0.01,0.29,0.02
0.11,-0.10,0.26,0.00
0.04,-0.04,0.23,-0.00
0.32,-0.02,0.24,-0.00
0.34,-0.07,0.26,-0.01
0.20,0.01,0.25,-0.01
0.19,-0.10,0.24,-0.04
0.47,-0.14,0.27,-0.07
0.29,-0.04,0.27,-0.06
0.17,-0.14,0.26,-0.08
0.07,0.07,0.24,-0.05
0.18,-0.04,0.22,-0.05
0.25,-0.13,0.22,-0.06
0.43,-0.07,0.27,-0.06
0.10,-0.13,0.23,-0.07
0.22,-0.01,0.23,-0.06
0.30,-0.10,0.24,-0.07
0.28,-0.05,0.25,-0.06
0.06,0.01,0.21,-0.05
