z_k_0,z_k_1,z_k_2,z_k_3,x_k_0,x_k_1,x_k_2,x_k_3
1.92,2.95,0.88,1.11,0.77,1.18,0.44,0.56
1.83,3.63,-0.33,0.40,1.19,2.16,0.06,0.48
2.44,2.65,-1.44,-1.48,1.69,2.36,-0.69,-0.50
1.36,2.79,-2.31,-1.44,1.56,2.53,-1.50,-0.97
1.86,2.58,-2.91,-0.81,1.68,2.55,-2.20,-0.89
1.08,3.33,-1.96,-0.17,1.43,2.86,-2.08,-0.53
0.97,2.53,-0.71,0.82,1.24,2.73,-1.39,0.15
1.58,2.50,-1.52,0.20,1.37,2.63,-1.46,0.17
1.05,3.83,-2.59,0.03,1.24,3.11,-2.02,0.10
1.28,2.67,-1.06,0.41,1.25,2.94,-1.54,0.26
1.50,1.81,1.43,-0.24,1.35,2.49,-0.05,0.01
1.00,2.29,-1.20,-1.11,1.21,2.41,-0.63,-0.55
1.48,2.75,-3.35,-0.34,1.32,2.54,-1.99,-0.44
0.90,3.02,-3.17,-0.05,1.14,2.73,-2.58,-0.25
1.17,2.17,-0.43,0.52,1.15,2.51,-1.50,0.14
1.05,2.17,-0.14,0.78,1.10,2.37,-0.82,0.46
0.55,2.99,-2.59,1.18,0.88,2.62,-1.70,0.82
0.77,2.61,-1.01,1.08,0.83,2.62,-1.36,0.95
1.04,2.35,1.66,0.37,0.91,2.52,0.15,0.66
0.49,1.83,-1.15,0.14,0.74,2.24,-0.50,0.40
1.57,2.41,0.09,1.65,1.07,2.31,-0.21,1.02
1.42,2.98,0.15,2.00,1.21,2.58,-0.03,1.51
1.05,3.33,-1.17,2.76,1.15,2.88,-0.60,2.14
1.77,1.70,0.61,2.31,1.40,2.42,0.00,2.22
1.10,3.49,1.19,1.40,1.28,2.85,0.59,1.81
1.22,3.25,-0.43,3.51,1.26,3.02,0.08,2.66
1.13,2.22,0.10,5.51,1.21,2.71,0.09,4.09
1.05,3.22,-1.15,5.98,1.14,2.92,-0.53,5.04
1.55,3.09,-0.01,3.24,1.31,3.00,-0.27,4.14
1.72,3.25,2.53,5.42,1.47,3.11,1.13,4.78
0.91,4.28,1.09,2.18,1.25,3.59,1.11,3.48
1.66,6.61,-1.75,0.29,1.42,4.81,-0.32,1.89
1.35,1.66,2.62,-1.30,1.39,3.55,1.15,0.29
1.23,2.41,6.44,-6.92,1.33,3.10,3.79,-3.31
2.69,1.70,15.78,-21.51,1.88,2.53,9.79,-12.41
3.95,1.08,28.50,-42.49,2.73,1.92,19.14,-27.45
5.34,0.35,38.25,-66.87,3.82,1.22,28.70,-47.16
5.21,6.21,44.64,-65.57,4.45,3.11,36.67,-56.37
1.37,5.80,54.58,-55.11,3.31,4.05,45.62,-55.74
2.48,-3.60,87.43,-38.40,3.08,0.86,66.53,-47.07
7.19,-6.32,116.16,-21.15,4.89,-2.13,91.34,-34.11
9.30,0.70,108.27,-8.24,6.87,-1.08,99.81,-21.18
11.71,-3.20,93.17,-11.53,9.05,-1.98,96.49,-16.35
15.71,-5.05,107.05,9.88,11.94,-3.24,101.77,-3.24
14.06,-9.30,114.90,17.24,13.03,-5.67,108.33,7.00
17.98,-22.41,84.35,22.14,15.27,-12.35,96.34,14.57
24.38,2.75,57.49,36.46,19.15,-6.28,76.92,25.51
20.13,10.15,53.96,44.38,19.72,0.35,65.44,34.95
19.48,-13.63,68.09,48.00,19.78,-5.16,66.76,41.47
23.49,-8.49,73.78,36.56,21.42,-6.39,70.27,39.02
22.22,-10.28,50.24,29.54,21.91,-7.85,60.26,34.28
27.58,-8.98,59.52,11.02,24.32,-8.22,59.89,22.65
36.29,15.88,46.71,-10.29,29.25,1.47,53.30,6.18
30.11,14.08,18.03,-11.02,29.72,6.53,35.66,-2.42
25.62,-1.86,23.64,-2.60,28.17,3.17,29.65,-2.51
31.86,9.80,44.27,2.09,29.72,5.81,36.96,-0.21
31.33,-9.10,17.84,-11.63,30.45,-0.15,27.40,-5.92
30.30,0.47,11.52,-11.39,30.46,0.08,19.46,-8.66
29.44,4.64,21.23,-6.82,30.10,1.88,20.35,-7.74
31.44,-1.91,40.24,-12.09,30.68,0.35,30.29,-9.92
35.67,4.53,40.42,-14.96,32.75,2.00,35.36,-12.44
36.65,7.25,23.61,-9.02,34.40,4.07,29.49,-10.73
34.40,1.09,24.61,-7.50,34.47,2.85,27.05,-9.11
35.05,-1.60,32.68,-6.23,34.77,1.05,29.86,-7.67
37.03,-0.99,26.22,-4.35,35.74,0.21,28.04,-6.01
38.77,1.79,13.48,-3.04,37.02,0.83,20.76,-4.52
36.51,-0.35,0.70,3.33,36.86,0.35,10.73,-0.60
35.22,-1.19,9.45,7.68,36.23,-0.27,10.09,3.54
37.46,1.16,9.17,6.27,36.75,0.31,9.63,4.91
37.32,-0.55,-0.65,2.61,37.00,-0.02,4.49,3.76
36.33,0.88,-4.81,0.78,36.74,0.35,-0.16,2.27
36.48,1.35,-2.68,0.82,36.64,0.75,-1.42,1.55
36.52,2.38,-5.61,3.31,36.59,1.41,-3.51,2.43
35.78,0.25,-6.22,3.95,36.25,0.95,-4.87,3.19
36.68,1.21,-3.91,0.53,36.41,1.06,-4.39,1.86
37.79,0.67,-10.63,-0.14,36.95,0.91,-7.51,0.86
37.61,1.07,-21.27,0.75,37.20,0.98,-14.39,0.81
38.29,-0.18,-37.88,2.67,37.60,0.51,-26.14,1.74
39.36,2.75,-66.17,-8.50,38.24,1.41,-46.16,-3.38
36.40,2.38,-91.41,0.84,37.39,1.79,-68.78,-1.27
32.80,-0.80,-100.74,-0.41,35.39,0.75,-84.76,-0.84
27.53,-7.15,-112.71,2.34,32.04,-2.41,-98.73,0.75
23.11,-2.13,-111.53,11.05,28.23,-2.30,-105.13,5.90
21.61,4.08,-109.79,20.60,25.33,0.27,-107.46,13.25
19.68,4.07,-108.62,11.21,22.81,1.82,-108.04,12.23
16.89,3.17,-97.94,10.26,20.18,2.39,-102.99,11.24
14.03,0.88,-73.29,5.25,17.47,1.81,-88.14,8.25
15.07,-3.69,-57.73,5.56,16.30,-0.37,-72.93,6.90
15.73,-3.06,-65.94,6.55,15.90,-1.43,-69.44,6.73
12.85,6.46,-96.36,-0.20,14.51,1.75,-82.90,3.26
10.35,9.35,-97.29,-1.60,12.65,4.80,-90.09,0.83
7.96,2.05,-70.52,-5.27,10.56,3.70,-80.31,-2.22
6.92,-3.40,-59.94,-1.36,8.91,0.86,-70.13,-1.79
8.00,1.22,-67.12,-6.18,8.38,1.00,-68.62,-3.99
3.84,6.41,-77.07,-10.32,6.40,3.15,-72.85,-7.15
2.45,3.41,-70.42,1.71,4.64,3.24,-71.63,-2.72
-3.54,4.31,-43.97,-26.76,1.20,3.66,-57.80,-14.74
-0.69,-4.93,-42.91,4.58,0.31,0.19,-50.35,-5.08
-0.72,1.28,-39.65,5.13,-0.23,0.61,-45.00,0.02
-1.34,6.58,-23.24,6.84,-0.78,3.00,-34.12,3.43
-0.88,4.89,-2.77,8.11,-0.90,3.76,-18.45,5.77
-1.79,2.55,0.85,8.18,-1.30,3.29,-8.80,6.98
-2.92,2.53,-5.59,8.29,-1.97,3.00,-7.20,7.63
-2.61,1.62,-5.65,8.89,-2.24,2.47,-6.42,8.26
-1.14,2.50,4.30,8.92,-1.82,2.50,-1.06,8.59
-1.68,6.21,5.03,8.38,-1.76,4.01,1.99,8.48
-2.52,6.48,-0.30,5.69,-2.06,5.02,0.85,7.09
-1.18,3.37,1.75,6.37,-1.71,4.38,1.30,6.73
-1.17,1.37,9.49,10.00,-1.49,3.19,5.39,8.36
-0.40,4.61,12.64,12.46,-1.04,3.78,9.02,10.41
-0.61,4.78,9.98,9.39,-0.85,4.20,9.50,9.90
0.34,3.72,2.13,4.56,-0.35,4.04,5.81,7.23
-0.62,4.52,-0.57,3.25,-0.44,4.25,2.62,5.24
-0.05,4.36,0.67,5.44,-0.28,4.31,1.64,5.34
-0.36,5.31,2.56,6.17,-0.31,4.72,2.10,5.75
-0.80,4.45,4.93,4.00,-0.50,4.63,3.51,4.88
-0.57,4.48,4.56,2.89,-0.52,4.58,4.04,3.88
0.57,4.66,3.28,3.24,-0.08,4.62,3.66,3.56
0.33,4.96,3.38,-1.95,0.10,4.76,3.52,0.80
1.05,4.48,3.46,-3.42,0.49,4.65,3.49,-1.31
0.58,4.96,1.66,-2.24,0.53,4.77,2.57,-1.78
-0.40,5.23,-2.51,-0.81,0.17,4.95,0.03,-1.29
0.56,4.43,-2.88,-0.95,0.32,4.74,-1.42,-1.12
-0.41,3.80,-2.34,-1.15,0.03,4.36,-1.88,-1.13
-0.12,3.02,-2.42,-0.63,-0.03,3.82,-2.15,-0.88
1.31,3.23,-1.62,-1.51,0.50,3.59,-1.89,-1.20
-0.48,6.09,-4.92,-3.54,0.10,4.58,-3.40,-2.37
0.16,4.95,-4.71,-2.06,0.12,4.72,-4.06,-2.21
-0.17,2.61,-2.57,-1.04,-0.01,3.87,-3.31,-1.63
-0.20,2.89,-0.10,-0.63,-0.09,3.48,-1.70,-1.13
0.91,4.07,-0.37,0.24,0.31,3.71,-1.04,-0.44
0.31,6.14,-1.30,-0.95,0.31,4.68,-1.17,-0.69
-0.15,4.22,-1.64,-0.75,0.12,4.49,-1.40,-0.72
-0.86,2.09,-3.32,-0.27,-0.28,3.53,-2.36,-0.50
-0.22,4.09,-3.44,-1.36,-0.26,3.75,-2.90,-0.93
0.01,5.37,-1.49,2.47,-0.16,4.40,-2.19,0.77
0.05,5.03,1.40,2.43,-0.08,4.65,-0.40,1.60
-0.14,4.23,1.41,0.89,-0.11,4.49,0.51,1.24
-0.42,3.08,-0.95,2.46,-0.23,3.93,-0.22,1.85
-0.39,3.53,-2.75,6.46,-0.30,3.77,-1.49,4.15
0.30,5.19,1.98,9.95,-0.06,4.35,0.25,7.05
0.29,5.34,5.98,17.24,0.08,4.76,3.11,12.15
-1.58,7.07,4.48,38.99,-0.57,5.71,3.80,25.57
-1.70,8.73,4.01,98.61,-1.01,6.98,3.90,62.09
3.56,4.03,12.21,93.86,0.83,5.95,8.06,77.98
3.18,10.24,14.25,103.10,1.79,7.85,11.16,90.54
1.33,14.10,7.89,94.00,1.63,10.57,9.52,92.27
2.22,14.41,-2.72,74.95,1.89,12.33,3.40,83.61
1.86,16.10,-7.20,90.09,1.89,14.04,-1.90,86.85
2.55,16.78,-8.49,64.00,2.15,15.34,-5.20,75.42
1.84,19.05,-9.99,49.33,2.01,17.01,-7.59,62.38
1.99,22.97,-10.08,48.64,1.99,19.54,-8.84,55.51
-2.93,26.14,-13.52,71.53,-0.00,22.31,-11.18,63.52
-1.48,25.82,-13.03,104.79,-0.62,23.87,-12.10,84.16
2.07,25.03,-6.02,98.03,0.43,24.54,-9.06,91.09
0.39,25.58,-1.36,70.78,0.39,25.17,-5.21,80.94
-2.54,30.10,-9.12,85.08,-0.80,27.34,-7.17,83.01
-1.22,33.95,-9.58,116.38,-0.98,30.18,-8.37,99.70
2.24,34.13,-7.09,104.17,0.28,32.00,-7.73,101.93
-0.40,35.43,-6.48,75.89,-0.01,33.62,-7.10,88.91
0.66,38.52,-7.49,84.90,0.24,35.79,-7.30,86.91
0.81,41.50,-6.04,95.91,0.45,38.28,-6.67,91.41
1.80,39.17,-5.17,76.26,0.97,38.86,-5.92,83.83
2.78,38.36,-2.26,53.98,1.68,38.86,-4.09,68.91
3.72,44.65,2.58,43.08,2.49,41.34,-0.76,56.00
2.48,48.60,3.66,36.06,2.48,44.38,1.45,46.03
